淡白/あっさり,Plain/Nonpersisting
お尻/ヒップ,Buttocks
ベタ/コテコテ,PredictableStory
汁/液大量,LotsofCum
アイテム/道具,FeaturedItems/Tools
ピアス/装飾品,Earrings
首輪/鎖/拘束具,Collar/Chain/Hamper
ムチ/縄/蝋燭,Whip/Rope/Candle
包帯/注射器,Bandage/Injector
道具/異物,ForeignObject
叔父/義父,Uncle/Stepfather
男性/おやじ,Man/Middle-age
同級生/同僚,Classmate
先輩/後輩,Junior&SeniorStudents
女王様/お姫様,Queen/Princess
エルフ/妖精,Elf/Fairy
天使/悪魔,Angel/Demon
魔法使い/魔女,Witch
人外娘/モンスター娘,Nonhuman/MonsterGirl
レトロ/耽美,Retro/Aesthetic
芸能人/アイドル/モデル,Entertainer/Idol/Model
警察/刑事,Police
ヤクザ/裏社会,Crime/Gangster
不良/ヤンキー,BadBoy/Hoodlum
レスラー/格闘家,Wrestler/Fighter
ヤリチン/プレイボーイ,Playboy
けもの/獣化,Animalize
コスチューム/衣装/職業,Outfits/Occupations
レース/フリル,Lacy/Frilled
着物/和服,Kimono/JapaneseDress
シチュエーション/系統,Situations/Tastes
学校/学園,School
オフィス/職場,Office
ラブラブ/あまあま,Romance
退廃/背徳/インモラル,Decadent/Immoral
日常/生活,Drama/DailyLiving
風俗/ソープ,Soapland
歴史/時代物,Epic/Historical
ノンフィクション/体験談,Non-fiction/RealStory
プレイ/えっち傾向,Actions/SexualPref.
妊娠/孕ませ,Pregnancy/Impregnation
レズ/女同士,Lesbian
ホモ/男同士,Homosexual
複数プレイ/乱交,Orgy
強制/無理矢理,Coercion/Compulsion
放尿/おしっこ,Urination
ごっくん/食ザー,CumSwallow
外見/身体的特徴,Appearance
巨乳/爆乳,BigBreasts
貧乳/微乳,TinyBreasts
複乳/怪乳/超乳,MultipleBreasts
乳首/乳輪,Nipples
ぼて腹/妊婦,PregnantWoman
スリム/スレンダー,Slim/Slender
陰毛/腋毛,PubicHair
褐色/日焼け,TannedSkin/Suntan
タトゥー/刺青,Tattoo
残酷系/異常系,Violence/Guro
血液/流血,Blood
売春/援交,Prostitution
萌え,Moe
ツンデレ,Tsundere
燃え,Hot
感動,Tearjerker
癒し,Healing
鬱,Depression
オールハッピー,TotallyHappy
着衣,Clothed
チラリズム,Peeping
フェチ,Fetish
女性視点,Woman'sViewpoint
女主人公のみ,FemaleHeroineOnly
男無,NoMale
逆転無し,NoReverse
マニアック,Maniac
アブノーマル,Abnormal
おさわり,Touching
きせかえ,ClothesChanging
脚,Legs
おっぱい,Breasts
淫語,DirtyTalk
連続絶頂,SuccessiveOrgasms
断面図,InsideView
ドット,PixelArt
ポリゴン,3D
アニメ,Anime
催眠音声,HypnoticVoice
アンソロジー,Anthology
リボン,Ribbon
カチューシャ,Headband
メガネ,Glasses
靴下,Socks
薬物,Drug
ローション,Lotion
スタンガン,StunGun
おむつ,Diaper
おもちゃ,Toy
キャラクター,Characters
少女,Girl
ぷに,Puni
少年,Boy
ショタ,Shota
年上,Senior
母親,Mother
義妹,YoungerStepsister
娘,Daughter
妹,YoungerSister
兄,OlderBrother
弟,YoungerBrother
父,Father
義母,Stepmother
実姉,RealOlderSister
義姉,OlderStepsister
熟女,MatureWoman
人妻,MarriedWoman
お姉さん,OlderGirl/OlderSister
未亡人,Widow
既婚者,MarriedPerson
幼なじみ,ChildhoodFriend
双子,Twins
姉妹,Sisters
保健医,SchoolNurse
女医,FemaleDoctor
女教師,FemaleTeacher
教師,Teacher
学生,Student
委員長,ClassPresident
先輩,Senpai
上司,Boss
OL,OfficeLady
秘書,Secretary
サラリーマン,SalariedWorker
ホスト,Host
リーマン,Salariman
お嬢様,Upper-classGirl
ギャル,Gal
ビッチ,Bitch
天然,Natural
電波,Frantic
主従,MasterandServant
執事,Butler
変身ヒロイン,TransformingGirl
魔法少女,MagicalGirl
男の娘,Trap
妖怪,Specter
擬人化,Personification
ヤンデレ,Yandere
モンスター娘,MonsterGirl
ロボッ娘,Robogirl
ドジっ娘,ClumsyGirl
ロボット,Robot
ガテン系,Blue-collarWorker
幽霊,Ghost
ゾンビ,Zombie
同性愛者,Homosexual
ショタケモ,Furry(Shota)
インテリ,Intellectual
外国人,Foreigner
体育会系,Jock
スポーツ選手,Athlete
ニューハーフ,Shemale
戦士,Warrior
俺様攻め,LordlyManner(Dominant)
クール攻め,CoolMan(Dominant)
年下攻め,YoungerMan(Dominant)
ヘタレ攻め,Lazy(Dominant)
強気受け,ToughGuy(Submissive)
誘い受け,Seduce(Submissive)
やんちゃ受け,Mischievous(Submissive)
オヤジ受け,OlderMan(Submissive)
クール受け,CoolMan(Submissive)
健気受け,DiligentMan(Submissive)
乙女受け,Girl(Submissive)
制服,Uniform
セーラー服,Sailor-styleUniform
体操着,GymClothes
道着,JudoUniform
スポユニ,SportsUniform
メイド,Maid
ナース,Nurse
巫女,ShrineMaiden
軍服,ArmyUniform
下着,Underwear
パンツ,Panties
ふんどし,Loincloth
ゴスロリ,GothicLolita
ロリ,Loli
コスプレ,Cosplay
ボンデージ,Bondage
